GW_id,chip_played,num_played
1,bboost,144974
1,3xc,221430
2,bboost,118782
2,freehit,102788
2,wildcard,217521
2,3xc,612384
3,bboost,87334
3,freehit,140192
3,wildcard,656652
3,3xc,186907
4,bboost,83637
4,freehit,125561
4,wildcard,940783
4,3xc,199688
5,bboost,66447
5,freehit,79498
5,wildcard,311710
5,3xc,71288
6,bboost,62665
6,freehit,84229
6,wildcard,663489
6,3xc,83406
7,bboost,54778
7,freehit,81146
7,wildcard,308835
7,3xc,140205
8,bboost,65446
8,freehit,64301
8,wildcard,221063
8,3xc,111602
9,bboost,51136
9,freehit,71811
9,wildcard,158486
9,3xc,330035
10,bboost,75823
10,freehit,70729
10,wildcard,162964
10,3xc,85359
11,bboost,79875
11,freehit,84689
11,wildcard,138253
11,3xc,52784
12,bboost,59590
12,freehit,89443
12,wildcard,252772
12,3xc,111773
13,bboost,57138
13,freehit,71881
13,wildcard,144095
13,3xc,44722
14,bboost,58057
14,freehit,60749
14,wildcard,141083
14,3xc,80792
15,bboost,46111
15,freehit,102956
15,wildcard,98439
15,3xc,72929
16,bboost,72296
16,freehit,56121
16,wildcard,120570
16,3xc,100883
17,bboost,80801
17,freehit,59644
17,wildcard,136974
17,3xc,55811
18,bboost,97727
18,freehit,83399
18,wildcard,374001
18,3xc,202796
19,bboost,83841
19,freehit,62471
19,wildcard,427439
19,3xc,67924
20,bboost,73435
20,freehit,67748
20,wildcard,412768
20,3xc,141464
21,bboost,89332
21,freehit,63224
21,wildcard,286969
21,3xc,51092
22,bboost,102686
22,freehit,35776
22,wildcard,166215
22,3xc,45688
23,bboost,125318
23,freehit,41076
23,wildcard,202189
23,3xc,145561
24,bboost,111461
24,freehit,123991
24,wildcard,129674
24,3xc,1139007
24,manager,1177726
