code,team_id,name,position,short_name,strength,strength_overall_home,strength_overall_away,strength_attack_home,strength_attack_away,strength_defence_home,strength_defence_away
3,1,Arsenal,2,ARS,4,1235,1335,1220,1370,1250,1300
7,2,Aston Villa,8,AVL,3,1110,1215,1080,1160,1140,1270
91,3,Bournemouth,7,BOU,4,1195,1215,1130,1170,1260,1260
94,4,Brentford,11,BRE,3,1100,1195,1080,1080,1120,1310
36,5,Brighton,10,BHA,3,1140,1150,1120,1140,1160,1160
8,6,Chelsea,6,CHE,4,1230,1235,1150,1150,1310,1320
31,7,Crystal Palace,12,CRY,3,1130,1130,1140,1140,1120,1120
11,8,Everton,16,EVE,3,1095,1125,1130,1140,1070,1100
54,9,Fulham,9,FUL,3,1150,1150,1150,1150,1150,1150
40,10,Ipswich,19,IPS,3,1075,1075,1070,1070,1080,1080
13,11,Leicester,18,LEI,3,1075,1085,1060,1080,1090,1090
14,12,Liverpool,1,LIV,5,1355,1360,1340,1350,1370,1370
43,13,Man City,4,MCI,4,1230,1250,1140,1150,1320,1350
1,14,Man Utd,14,MUN,3,1115,1140,1120,1120,1110,1160
4,15,Newcastle,5,NEW,4,1195,1225,1140,1150,1250,1300
17,16,Nott'm Forest,3,NFO,4,1195,1220,1200,1250,1190,1190
20,17,Southampton,20,SOU,2,1055,1065,1050,1050,1060,1080
6,18,Spurs,15,TOT,3,1150,1185,1090,1090,1210,1280
21,19,West Ham,13,WHU,3,1095,1100,1080,1080,1110,1120
39,20,Wolves,17,WOL,3,1095,1095,1070,1070,1120,1120
